Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-01-12,2.6137824058532715,2.6380532642583576,2.591378622157134,2.6137824058532715,140000,0.0,0.0,DPM.TO
1995-01-13,2.5671073451376434,2.5671073451376434,2.520432710647583,2.520432710647583,123000,0.0,0.0,DPM.TO
1995-01-16,2.544703872147121,2.544703872147121,2.4980292320251465,2.4980292320251465,18000,0.0,0.0,DPM.TO
1995-01-17,2.544703872147121,2.544703872147121,2.4980292320251465,2.4980292320251465,51000,0.0,0.0,DPM.TO
1995-01-18,2.5204331022009105,2.544703960418701,2.5204331022009105,2.544703960418701,19000,0.0,0.0,DPM.TO
1995-01-19,2.520433014771246,2.520433014771246,2.4980292320251465,2.4980292320251465,11000,0.0,0.0,DPM.TO
1995-01-20,2.498029076537766,2.498029076537766,2.4737582206726074,2.4737582206726074,42000,0.0,0.0,DPM.TO
1995-01-23,2.4980292117637024,2.4980292117637024,2.380408852535655,2.4270834922790527,85000,0.0,0.0,DPM.TO
1995-01-24,2.4270833608936244,2.4737582206726074,2.4270833608936244,2.4737582206726074,42500,0.0,0.0,DPM.TO
1995-01-25,2.4737582695696814,2.4737582695696814,2.4270834088681084,2.4513542652130127,44500,0.0,0.0,DPM.TO
1995-01-26,2.4737582695696814,2.4737582695696814,2.4513542652130127,2.4513542652130127,1510500,0.0,0.0,DPM.TO
1995-01-27,2.451354349458067,2.4737583545846884,2.4270834922790527,2.4270834922790527,128000,0.0,0.0,DPM.TO
1995-01-30,2.427083401890659,2.427083401890659,2.358004982155467,2.380408763885498,60000,0.0,0.0,DPM.TO
1995-01-31,2.404679772690929,2.404679772690929,2.3337342739105225,2.3337342739105225,37500,0.0,0.0,DPM.TO
1995-02-01,2.3804088291891343,2.3804088291891343,2.3580050468444824,2.3580050468444824,14500,0.0,0.0,DPM.TO
1995-02-02,2.380408763885498,2.404679620160628,2.380408763885498,2.380408763885498,19500,0.0,0.0,DPM.TO
1995-02-03,2.380408763885498,2.404679620160628,2.380408763885498,2.380408763885498,55000,0.0,0.0,DPM.TO
1995-02-06,2.380408852535655,2.4270834922790527,2.380408852535655,2.4270834922790527,22500,0.0,0.0,DPM.TO
1995-02-07,2.4270834922790527,2.4270834922790527,2.4046797097146695,2.4270834922790527,327000,0.0,0.0,DPM.TO
1995-02-08,2.4270834922790527,2.4270834922790527,2.4046797097146695,2.4270834922790527,28500,0.0,0.0,DPM.TO
1995-02-09,2.404679620160628,2.404679620160628,2.380408763885498,2.380408763885498,30500,0.0,0.0,DPM.TO
1995-02-10,2.380408763885498,2.404679620160628,2.380408763885498,2.380408763885498,133000,0.0,0.0,DPM.TO
1995-02-13,2.358004982155467,2.380408763885498,2.358004982155467,2.380408763885498,32500,0.0,0.0,DPM.TO
1995-02-14,2.358004982155467,2.380408763885498,2.358004982155467,2.380408763885498,63000,0.0,0.0,DPM.TO
1995-02-15,2.3804088291891343,2.3804088291891343,2.3337341899035113,2.3580050468444824,31500,0.0,0.0,DPM.TO
1995-02-16,2.3337341258803375,2.380408763885498,2.3337341258803375,2.380408763885498,33500,0.0,0.0,DPM.TO
1995-02-17,2.380408763885498,2.380408763885498,2.380408763885498,2.380408763885498,58000,0.0,0.0,DPM.TO
1995-02-20,2.3804088291891343,2.3804088291891343,2.3580050468444824,2.3580050468444824,11500,0.0,0.0,DPM.TO
1995-02-21,2.3580050468444824,2.3804088291891343,2.3580050468444824,2.3580050468444824,170000,0.0,0.0,DPM.TO
