,longName,quoteType,symbol,sector,industry,currentPrice,numberOfAnalystOpinions,recommendationKey,targetLowProfit,targetLowPrice,targetHighProfit,targetHighPrice,shortRatio,sharesOutstanding,revenuePerShare,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,averageDailyVolume10Day,twoHundredDayAverage
113,Dundee Precious Metals Inc.,EQUITY,DPM.TO,Basic Materials,Gold,6.51,9.0,buy,130.568356374808,8.5,238.0952380952381,15.5,2.48,191471008.0,3.245,5.41,8.41,6.4492,547090.0,6.7426
272,Global Atomic Corporation,EQUITY,GLO.TO,Basic Materials,Other Industrial Metals & Mining,3.51,3.0,buy,148.14814814814815,5.2,199.43019943019945,7.0,2.49,174640000.0,0.007,2.58,5.1,3.7136,179790.0,3.5693
276,GoGold Resources Inc.,EQUITY,GGD.TO,Basic Materials,Other Precious Metals & Mining,2.17,5.0,buy,147.46543778801845,3.2,230.41474654377882,5.0,0.57,278009984.0,0.143,1.37,3.635,1.8476,887470.0,2.1223
597,Ivanhoe Mines Ltd.,EQUITY,IVN.TO,Basic Materials,Other Industrial Metals & Mining,10.7,10.0,buy,112.24299065420563,12.01,158.97196261682245,17.01,18.85,1208720000.0,,6.41,13.15,10.805,1865090.0,9.6578
746,Orezone Gold Corporation,EQUITY,ORE.TO,Basic Materials,Gold,1.26,6.0,buy,170.63492063492063,2.15,277.77777777777777,3.5,3.44,323534016.0,,1.06,1.81,1.2069,201890.0,1.360975
749,Osisko Gold Royalties Ltd,EQUITY,OR.TO,Basic Materials,Gold,16.32,12.0,buy,113.3578431372549,18.5,157.78186274509804,25.75,8.01,166458000.0,1.3,11.9,18.59,16.1816,291680.0,14.8242
752,Paramount Resources Ltd.,EQUITY,POU.TO,Energy,Oil & Gas E&P,28.64,10.0,buy,125.69832402234637,36.0,174.58100558659217,50.0,3.46,140696000.0,11.85,22.16,40.73,29.1646,336450.0,30.0446
776,Pine Cliff Energy Ltd.,EQUITY,PNE.TO,Energy,Oil & Gas E&P,1.69,5.0,buy,124.26035502958581,2.1,142.01183431952663,2.4,1.59,338643008.0,0.67,0.62,2.05,1.6598,460900.0,1.6715
875,Sabina Gold & Silver Corp.,EQUITY,SBB.TO,Basic Materials,Gold,1.33,8.0,buy,150.37593984962405,2.0,281.9548872180451,3.75,7.83,355268000.0,,0.93,1.83,1.2504,928010.0,1.2113
879,Secure Energy Services Inc.,EQUITY,SES.TO,Industrials,Waste Management,7.03,11.0,buy,120.9103840682788,8.5,156.4722617354196,11.0,1.74,308110016.0,20.785,5.02,7.85,7.249,511910.0,6.3991
891,SilverCrest Metals Inc.,EQUITY,SIL.TO,Basic Materials,Other Precious Metals & Mining,8.1,7.0,buy,135.80246913580248,11.0,197.5308641975309,16.0,11.63,145148992.0,,6.295,12.99,8.2022,513690.0,8.67555
924,Tamarack Valley Energy Ltd.,EQUITY,TVE.TO,Energy,Oil & Gas E&P,4.46,13.0,buy,112.10762331838563,5.0,280.2690582959641,12.5,1.41,406339008.0,2.591,3.28,6.48,4.8294,2432440.0,4.63215
1051,West Fraser Timber Co. Ltd.,EQUITY,WFG.TO,Basic Materials,Lumber & Wood Production,97.77,6.0,buy,122.73703590058301,120.0,155.2418942415874,151.78,2.14,104587000.0,96.477,89.95,132.91,104.1974,236980.0,108.3688
1059,Whitecap Resources Inc.,EQUITY,WCP.TO,Energy,Oil & Gas E&P,10.74,15.0,buy,111.73184357541899,12.0,162.94227188081936,17.5,4.14,634800000.0,5.213,7.61,12.71,10.4912,2366950.0,9.99445
13,Advantage Energy Ltd.,EQUITY,AAV.TO,Energy,Oil & Gas E&P,9.47,12.0,buy,137.2756071805702,13.0,179.5142555438226,17.0,2.83,172186000.0,4.266,5.98,12.19,10.8206,1007380.0,10.29005
47,Athabasca Oil Corporation,EQUITY,ATH.TO,Energy,Oil & Gas E&P,2.41,5.0,buy,124.48132780082987,3.0,155.60165975103732,3.75,11.3,586369024.0,2.483,1.14,3.44,2.548,3822120.0,2.4323
98,Birchcliff Energy Ltd.,EQUITY,BIR.TO,Energy,Oil & Gas E&P,9.43,13.0,buy,116.6489925768823,11.0,212.08907741251326,20.0,3.56,265572992.0,4.241,5.42,12.48,10.1524,1077820.0,10.0098
267,Cameco Corporation,EQUITY,CCO.TO,Energy,Uranium,30.69,11.0,buy,130.33561420658197,40.0,157.70609318996412,48.4,10.57,397961984.0,4.474,23.03,41.05,31.4086,1248600.0,32.67355
268,Canaccord Genuity Group Inc.,EQUITY,CF.TO,Financial Services,Capital Markets,8.39,4.0,buy,125.14898688915375,10.5,148.98688915375448,12.5,5.54,105811000.0,19.597,6.24,16.05,7.5986,634490.0,8.94335
287,Cardinal Energy Ltd.,EQUITY,CJ.TO,Energy,Oil & Gas E&P,7.62,6.0,buy,111.54855643044618,8.5,170.60367454068242,13.0,2.46,150400000.0,3.559,4.34,9.96,8.3118,916170.0,8.0198
294,CES Energy Solutions Corp.,EQUITY,CEU.TO,Energy,Oil & Gas Equipment & Services,2.76,10.0,buy,126.81159420289856,3.5,199.2753623188406,5.5,6.08,254872000.0,5.946,2.01,3.27,2.8486,273250.0,2.5859
298,Chorus Aviation Inc.,EQUITY,CHR.TO,Industrials,Airports & Air Services,3.24,8.0,buy,123.45679012345678,4.0,185.18518518518516,6.0,8.57,177651008.0,7.456,2.24,4.54,2.9822,339810.0,3.26495
